u,v,X,Y,Z
0.100000, 0.180000,5.400000,19.593294,3.000000
0.100000, 0.200000,6.000000,19.820400,3.000000
0.100000, 0.220000,6.600000,20.032854,3.000000
0.100000, 0.240000,7.200000,20.230656,3.000000
0.100000, 0.260000,7.800000,20.413806,3.000000
0.100000, 0.280000,8.400000,20.582304,3.000000
0.100000, 0.300000,9.000000,20.736150,3.000000
0.100000, 0.320000,9.600000,20.875344,3.000000
0.100000, 0.340000,10.200000,20.999886,3.000000
0.100000, 0.360000,10.800000,21.109776,3.000000
0.100000, 0.380000,11.400000,21.205014,3.000000
0.100000, 0.400000,12.000000,21.285600,3.000000
0.100000, 0.420000,12.600000,21.351534,3.000000
0.100000, 0.440000,13.200000,21.402816,3.000000
0.100000, 0.460000,13.800000,21.439446,3.000000
0.100000, 0.480000,14.400000,21.461424,3.000000
0.100000, 0.500000,15.000000,21.468750,3.000000
0.100000, 0.520000,15.600000,21.461424,3.000000
0.100000, 0.540000,16.200000,21.439446,3.000000
0.100000, 0.560000,16.800000,21.402816,3.000000
0.100000, 0.580000,17.400000,21.351534,3.000000
0.100000, 0.600000,18.000000,21.285600,3.000000
0.100000, 0.620000,18.600000,21.205014,3.000000
0.100000, 0.640000,19.200000,21.109776,3.000000
0.100000, 0.660000,19.800000,20.999886,3.000000
0.100000, 0.680000,20.400000,20.875344,3.000000
0.100000, 0.700000,21.000000,20.736150,3.000000
0.100000, 0.720000,21.600000,20.582304,3.000000
0.100000, 0.740000,22.200000,20.413806,3.000000
0.100000, 0.760000,22.800000,20.230656,3.000000
0.100000, 0.780000,23.400000,20.032854,3.000000
0.100000, 0.800000,24.000000,19.820400,3.000000
0.100000, 0.820000,24.600000,19.593294,3.000000
0.100000, 0.840000,25.200000,19.351536,3.000000
0.100000, 0.860000,25.800000,19.095126,3.000000
0.100000, 0.880000,26.400000,18.824064,3.000000
0.100000, 0.900000,27.000000,18.538350,3.000000
0.100000, 0.920000,27.600000,18.237984,3.000000
0.100000, 0.940000,28.200000,17.922966,3.000000
0.100000, 0.960000,28.800000,17.593296,3.000000
0.100000, 0.980000,29.400000,17.248974,3.000000
0.100000, 1.000000,30.000000,16.890000,3.000000
0.120000, 0.000000,0.000000,17.217600,3.600000
0.120000, 0.020000,0.600000,17.613809,3.600000
0.120000, 0.040000,1.200000,17.993845,3.600000
0.120000, 0.060000,1.800000,18.357710,3.600000
0.120000, 0.080000,2.400000,18.705403,3.600000
0.120000, 0.100000,3.000000,19.036925,3.600000
0.120000, 0.120000,3.600000,19.352274,3.600000
0.120000, 0.140000,4.200000,19.651452,3.600000
0.120000, 0.160000,4.800000,19.934458,3.600000
0.120000, 0.180000,5.400000,20.201293,3.600000
0.120000, 0.200000,6.000000,20.451955,3.600000
0.120000, 0.220000,6.600000,20.686446,3.600000
0.120000, 0.240000,7.200000,20.904765,3.600000
0.120000, 0.260000,7.800000,21.106912,3.600000
0.120000, 0.280000,8.400000,21.292888,3.600000
0.120000, 0.300000,9.000000,21.462691,3.600000
0.120000, 0.320000,9.600000,21.616323,3.600000
0.120000, 0.340000,10.200000,21.753783,3.600000
0.120000, 0.360000,10.800000,21.875071,3.600000
0.120000, 0.380000,11.400000,21.980188,3.600000
0.120000, 0.400000,12.000000,22.069133,3.600000
0.120000, 0.420000,12.600000,22.141906,3.600000
0.120000, 0.440000,13.200000,22.198507,3.600000
0.120000, 0.460000,13.800000,22.238936,3.600000
0.120000, 0.480000,14.400000,22.263194,3.600000
0.120000, 0.500000,15.000000,22.271280,3.600000
0.120000, 0.520000,15.600000,22.263194,3.600000
0.120000, 0.540000,16.200000,22.238936,3.600000
0.120000, 0.560000,16.800000,22.198507,3.600000
0.120000, 0.580000,17.400000,22.141906,3.600000
0.120000, 0.600000,18.000000,22.069133,3.600000
0.120000, 0.620000,18.600000,21.980188,3.600000
0.120000, 0.640000,19.200000,21.875071,3.600000
0.120000, 0.660000,19.800000,21.753783,3.600000
0.120000, 0.680000,20.400000,21.616323,3.600000
0.120000, 0.700000,21.000000,21.462691,3.600000
0.120000, 0.720000,21.600000,21.292888,3.600000
0.120000, 0.740000,22.200000,21.106912,3.600000
0.120000, 0.760000,22.800000,20.904765,3.600000
0.120000, 0.780000,23.400000,20.686446,3.600000
0.120000, 0.800000,24.000000,20.451955,3.600000
0.120000, 0.820000,24.600000,20.201293,3.600000
0.120000, 0.840000,25.200000,19.934458,3.600000
0.120000, 0.860000,25.800000,19.651452,3.600000
0.120000, 0.880000,26.400000,19.352274,3.600000
0.120000, 0.900000,27.000000,19.036925,3.600000
0.120000, 0.920000,27.600000,18.705403,3.600000
0.120000, 0.940000,28.200000,18.357710,3.600000
0.120000, 0.960000,28.800000,17.993845,3.600000
0.120000, 0.980000,29.400000,17.613809,3.600000
0.120000, 1.000000,30.000000,17.217600,3.600000
0.140000, 0.000000,0.000000,17.528400,4.200000
0.140000, 0.020000,0.600000,17.961787,4.200000
0.140000, 0.040000,1.200000,18.377484,4.200000
0.140000, 0.060000,1.800000,18.775492,4.200000
0.140000, 0.080000,2.400000,19.155811,4.200000
0.140000, 0.100000,3.000000,19.518440,4.200000
0.140000, 0.120000,3.600000,19.863381,4.200000
0.140000, 0.140000,4.200000,20.190632,4.200000
0.140000, 0.160000,4.800000,20.500194,4.200000
0.140000, 0.180000,5.400000,20.792066,4.200000
0.140000, 0.200000,6.000000,21.066250,4.200000
0.140000, 0.220000,6.600000,21.322744,4.200000
0.140000, 0.240000,7.200000,21.561549,4.200000
0.140000, 0.260000,7.800000,21.782664,4.200000
0.140000, 0.280000,8.400000,21.986090,4.200000
0.140000, 0.300000,9.000000,22.171828,4.200000
0.140000, 0.320000,9.600000,22.339875,4.200000
0.140000, 0.340000,10.200000,22.490234,4.200000
0.140000, 0.360000,10.800000,22.622903,4.200000
0.140000, 0.380000,11.400000,22.737884,4.200000
0.140000, 0.400000,12.000000,22.835174,4.200000
0.140000, 0.420000,12.600000,22.914776,4.200000
0.140000, 0.440000,13.200000,22.976688,4.200000
0.140000, 0.460000,13.800000,23.020912,4.200000
